Identifier,Name,Address,Type,Width,Signed,Max string length,Factor,Unit
trig-efficiency,TrigEfficiency,TrigEfficiency,bool,,,,,
trig-batch,TrigBatch,TrigBatch,bool,,,,,
trig-grippers,TrigGrippers,TrigGrippers,bool,,,,,
last-gripper-with-comm-error,LastGripperWithCommError,LastGripperWithCommError,int,8,True,,,
nr-of-planting-cycles,NrOfPlantingCycles,NrOfPlantingCycles,int,8,True,,,
teaching-pos-difference,TeachingPosDifference,TeachingPosDifference,int,8,True,,,
nr-of-comm-errors,NrOfCommErrors,NrOfCommErrors,int,8,True,,,
pickup-cycle,PickupCycle,PickupCycle,int,8,True,,,
gds-error,GDSError,GDSError,int,8,True,,,
off-error,OFFError,OFFError,int,8,True,,,
move-retries,MoveRetries,MoveRetries,int,8,True,,,
gripper-with-biggest-pos-diff,GripperWithBiggestPosDiff,GripperWithBiggestPosDiff,int,8,True,,,
nr-of-teaching,NrOfTeaching,NrOfTeaching,int,8,True,,,
start-batch,StartBatch,StartBatch,str,,,20,,
batch-name,BatchName,BatchName,str,,,100,,
end-batch,EndBatch,EndBatch,str,,,20,,
